time,data
9438954.274999967,28757
9438954.281999966,42767
9438954.289999966,42767
9438954.295999965,32716
9438954.301999964,22769
9438954.308999963,22769
9438954.314999962,22769
9438954.321999962,22769
9438954.325999962,22769
9438954.332999961,22769
9438954.33899996,35049
9438954.34699996,34314
9438954.35499996,35804
9438954.361999959,33820
9438954.367999958,32062
9438954.373999957,33028
9438954.380999956,34267
9438954.386999955,32513
9438954.394999955,30151
9438954.399999956,27009
9438954.543999955,42767
9504489.543999955,42767
9504489.549999954,40329
9504489.556999953,42767
9504489.564999953,42767
9504489.569999954,42767
9504489.575999953,42767
9504489.580999954,42767
9504489.588999953,42767
9504489.594999952,42767
9570033.974999953,42767
9570033.979999954,42767
9570033.987999953,42767
9570033.993999952,42767
9570034.001999952,42767
9570034.009999951,42767
9570034.013999952,42767
9570034.017999953,42767
9570034.027999952,42767
9570034.030999953,42767
9570034.179999953,42767
9570034.184999954,42767
9570034.192999953,31244
9570034.200999953,37289
9570034.206999952,41058
9570034.214999951,42767
9570034.217999952,42767
9570034.222999953,41621
9570034.230999952,38544
9570034.235999953,35125
9570034.241999952,40509
9570034.251999952,36639
9570034.254999952,41264
9570034.264999952,32319
9570034.272999952,22769
9570034.280999951,22940
9570034.283999952,23376
9570034.288999952,22769
9570034.297999952,22769
9570034.301999953,22769
9570034.310999952,22969
9570034.318999952,22769
9570034.326999951,22769
9570034.33399995,22769
9570034.33699995,22769
9570034.462999951,42767
9570034.47099995,42767
9570034.47899995,42767
9570034.48399995,42767
9635569.48399995,42767
9635569.49199995,42767
9635569.49799995,42767
9635569.77399995,37163
9635569.779999949,42767
9635569.787999948,42767
9635569.79299995,42767
9635569.800999949,35085
9635569.808999948,32990
9635569.814999947,42140
9635569.822999947,38278
9635569.829999946,35211
9635569.835999945,31774
9635569.838999946,27445
9635569.846999945,36757
9635569.854999945,42330
9635569.857999945,42625
9635569.865999945,37191
9635569.872999944,41312
9635569.877999945,32936
9635570.006999945,42767
9635570.013999945,42767
9635570.019999944,37154
9635570.025999943,42767
9635570.033999942,41264
9635570.035999943,36353
9635570.040999943,31344
9635570.049999943,34574
9635570.054999944,33051
9635570.059999945,41426
9635570.069999944,38468
9635570.077999944,31737
9635570.085999943,35963
9635570.093999943,36385
9635570.097999943,33455
9635570.104999943,34105
9635570.112999942,36040
9635570.118999941,26583
9701114.392999941,22769
9701114.397999942,25881
9701114.547999943,24746
9701114.551999943,25180
9701114.560999943,22769
9701114.567999942,22769
9701114.573999941,22769
9701114.57999994,22769
9701114.584999941,22769
9701114.59299994,36281
9701114.60099994,25424
9701114.605999941,27583
9701114.61199994,27463
9701114.61999994,37786
9701114.627999939,35459
9701114.635999938,27275
9701114.642999938,27722
9701114.645999938,28279
9701114.653999938,39930
9701114.661999937,27872
9701114.907999936,31145
9701114.915999936,41659
9701114.920999937,41530
9701114.928999936,41292
9701114.936999936,41229
9701114.944999935,41278
9701114.952999935,40752
9701114.959999934,40406
9701114.965999933,40515
9701114.971999932,39442
9701114.978999931,39206
9701114.98699993,36733
9701114.987999931,39129
9701114.99599993,36239
9701115.00299993,39069
9701115.008999929,37802
9701115.015999928,37388
9701115.021999927,37237
9701115.183999928,36426
9766659.368999928,35999
9766659.376999928,33086
9766659.382999927,33122
9766659.386999927,32695
9766659.392999927,32644
9766659.400999926,32605
9766659.408999925,32397
9766659.414999925,32313
9766659.419999925,32270
9766659.427999925,32479
9766659.435999924,32219
9766659.442999924,32199
9766659.445999924,32094
9766659.453999924,31908
9766659.456999924,31754
9766659.464999923,31470
9766659.472999923,31980
9766659.632999923,32678
9766659.638999922,30825
9766659.646999922,31004
9766659.653999921,31730
9766659.65999992,33110
9766659.66699992,32500
9766659.672999918,32682
9766659.675999919,32507
9766659.683999918,35686
9766659.691999918,33481
9766659.694999918,31554
9766659.702999918,32805
9766659.709999917,32318
9832194.709999917,32318
9832194.717999917,31535
9832194.725999916,32054
9832194.731999915,32480
9832194.738999914,32390
9832194.744999913,32590
9832194.750999913,36999
9897738.899999913,27063
9897738.907999912,28323
9897738.913999911,27942
9897738.92099991,28737
9897738.92699991,30427
9897738.93199991,30592
9897738.93999991,26006
9897738.94799991,25653
9897738.953999909,29124
9897738.961999908,29012
9897738.968999907,32838
9897738.974999906,29732
9897738.980999906,28661
9897738.987999905,30910
9897738.990999905,30553
9897738.998999905,25817
9897739.006999904,26959
9897739.014999904,26732
9897739.163999904,28553
9897739.171999903,26488
9897739.177999903,27620
9897739.185999902,27696
9897739.192999901,27934
9897739.195999902,27093
9897739.203999901,33144
9897739.208999902,29219
9897739.214999901,27773
9897739.219999902,31373
9897739.228999902,32889
9897739.2359999,29960
9897739.2439999,30027
9897739.2499999,29516
9897739.257999899,34528
9897739.2609999,34596
9897739.267999899,34951
9897739.2729999,34991
9897739.2819999,34919
9897739.289999899,31435
9897739.296999898,29792
9897739.300999898,30072
9897739.3059999,30394
9897739.312999899,31794
9897739.446999898,26221
9897739.452999897,26502
9897739.460999897,25739
9897739.468999896,26685
9897739.472999897,25870
9897739.480999896,26304
9897739.488999896,26369
9897739.496999895,26629
9897739.502999894,26325
9897739.508999893,26391
9897739.515999893,26355
9897739.521999892,26578
9897739.528999891,27429
9897739.53499989,28113
9897739.54299989,32635
9897739.548999889,30338
9897739.55299989,30913
9963283.62499989,30290
9963283.78299989,32554
9963283.79099989,38318
9963283.797999889,29543
9963283.805999888,23443
9963283.811999887,23034
9963283.819999887,25647
9963283.824999887,24979
9963283.830999887,24975
9963283.837999886,26863
9963283.845999885,28685
9963283.851999884,26095
9963283.858999884,34171
9963283.864999883,23923
9963283.872999882,23897
9963284.074999882,35671
9963284.082999881,33682
9963284.09099988,31962
9963284.09699988,33605
9963284.10199988,34119
9963284.10799988,23649
9963284.11599988,29265
9963284.122999879,29792
9963284.128999878,28624
9963284.134999877,37376
9963284.142999876,39686
9963284.149999876,37411
9963284.155999875,33668
9963284.162999874,32252
9963284.331999874,27696
9963284.339999873,22830
9963284.342999874,23453
9963284.347999875,22769
9963284.357999874,23385
9963284.365999874,25343
9963284.371999873,25337
9963284.379999872,22769
9963284.386999872,22817
9963284.390999872,22769
9963284.397999872,36754
10028828.387999872,38145
10028828.395999871,38805
10028828.40199987,38283
10028828.40899987,42670
10028828.414999869,33464
10028828.420999868,36031
10028828.427999867,30713
10028828.433999866,30392
10028828.572999867,42767
10028828.576999867,42767
10028828.584999867,36122
10028828.592999866,39418
10028828.600999866,33274
10028828.606999865,32325
10028828.612999864,30779
10028828.617999865,26840
10028828.620999865,27902
10028828.628999865,26804
10028828.636999864,22769
10028828.644999864,22769
10028828.652999863,22769
10028828.659999862,22769
10028828.665999861,22769
10028828.670999862,24636
10028828.676999861,22769
10028828.68499986,22769
10028828.689999862,39613
10028828.697999861,32702
10028828.70599986,29411
10028828.844999861,22769
10028828.85199986,22769
10028828.86099986,25497
10028828.86799986,22769
10028828.873999858,22769
10028828.87899986,22769
10028828.886999859,22769
10028828.894999858,22769
